Product Code/SKU,Product Name,Product Description,Arranger,Difficulty,Ensemble
210248,(Everybody's Waitin' for) The Man with the Bag (TTBB) (arr. Briner),"TTBB, Arr. Dave Briner (formerly #200724) | Available in US and Canada Dave Briner hits all the right notes in this often overlooked Christmas classic, a perfect vehicle for any quartet or chorus looking for a swinging addition to their holiday show set that will be as much fun for your audience to listen to as it is to sing and perform!  ",Dave Briner,3,TTBB
7385,(Here Am I) Broken Hearted (TTBB) (arr. Gentry),"TTBB, arranged by Tom Gentry | Available in US only",Thomas Gentry,2,
212242,"(Hey, Won't You Play) Another Somebody Done Somebody Wrong Song (TTBB) (arr. Szabo)",TTBB | Arranged by Burt Szabo (formerly #202838) | Available Worldwide (excluding Japan),Burt Szabo,1/2,TTBB
200738,(I'm Afraid) The Masquerade Is Over (arr. Waesche)(SSAA)  ,"SSAA for high voices, arranged by Ed Waesche | Available in US and Canada",,,
8802,(I'm Afraid) The Masquerade Is Over (TTBB) (arr. Waesche),"TTBB, arranged by Ed Waesche | Available in US and Canada",,,
211598,(Let Me Be Your) Teddy Bear (TTBB) (arr. Dale),,Aaron Dale,2,
211621,(Love Is) The Tender Trap (TTBB) (arr. Tramack),TTBB | Arranged by Steve Tramack (formerly #206693) | Available in US and Canada,Steve Tramack,4,
211604,(Now and Then There's) A Fool Such as I (TTBB) (arr. Dale),TTBB | Arranged by Aaron Dale (formerly #202465) | Available in US and Canada *International customers may purchase a digital version of this arrangement through ,Aaron Dale,4,
213483,(There's No Place Like) Home for the Holidays (SATB) (arr. Foris & Szabo),"SATB, for mixed voices| Arranged by Russ Foris & Burt Szabo | Available in US and Canada ",Russ Foris & Burt Szabo,2,SATB
213353,(There's No Place Like) Home for the Holidays (SSAA) (arr. Foris & Szabo),"SSAA, for female voices | Arranged by Russ Foris & Burt Szabo | Available in US and Canada ",Russ Foris & Burt Szabo,2,SSAA
7698,(There's No Place Like) Home for the Holidays (TTBB) (arr. Foris & Szabo),TTBB | Arranged by Russ Foris & Burt Szabo | Available in US and Canada ,Russ Foris & Burt Szabo,2,
211658,(They Long to Be) Close to You (TTBB) (arr. Liles),TTBB | Arranged by Joe Liles (formerly #113983) | Available in US and Canada,Joe Liles,2,
