SongID,SongTitle,KeyName,Arranger,AsSungBy,LT_Provider,SongStyle,SongLength,Difficulty,Genre,Tempo,StartingWords
109,(I`m Afraid) The Masquerade Is Over,E,Ed Waesche,Acoustix,--,Ballad,03:40,,,Ballad,My blue horizon is turning grey ...
525,(I've Got a Gal in) Kalamazoo,Bb,Greg Volk,--,Randy Rogers,,02:29,,,,Listen very closely and you will see …
391,(Let's Start) Tomorrow Tonight,C,Larry Triplett,Zero Hour,Drew Wheaton,Uptune,03:05,,,Uptune,"I can feel it tonight, gonna hold you so tight;"
38,(Love Is) The Tender Trap,Ab,Boston Common,--,--,Uptune,03:12,4,,Uptune,"Those eyes, those sighs,I'm tellin' no lies ..."
1,(Now and Then There's) A Fool Such As I,D,Aaron Dale,OC Times,Tim Waurick,Uptune,02:26,4,Popular,Medium Swing,Pardon me if I'm sentimental when you say …
469,(Now and Then There's) A Fool Such As I,Eb,Aaron Dale,OC Times,Aaron Dale,Uptune,02:26,4,Popular,Medium Swing,Pardon me if I'm sentimental when you say …
265,(When It`s) Darkness On the Delta,F,SPEBSQSA,Bluegrass Student Union,Tim Waurick,Uptune,01:14,1,,Uptune,When it`s darkness on the delta ...
365,(You Make Me) Smile,E,Steve Tramack,--,Shawn Thomas,Uptune,03:26,,,Uptune,Bah doo dah doh dah doh ... You're better than ...
405,A Chocolate Sundae (On a Saturday Night),G,Jeremy Johnson,--,--,--,03:13,,,,It's been a lovely night ...
300,A Hard Day's Night,F,Liz Garnett,--,Peter Nugent,Uptune,02:16,,,Uptune,It's Been A Hard Days Night and I've …
2,A Little Patch of Heaven,A,Aaron Dale,Crossroads,Tim Waurick,Uptune,03:49,4,Disney,Uptune Swing,Oo Dar-lin' I've been dreamin' of a land …
410,A Little Street Where Old Friends Meet,F,Sam Breedon,Suntones,Tim Waurick,--,02:17,,,,"Home-sick, heart-sick, nothing seems real …"
470,A Little Street Where Old Friends Meet,G,Sam Breedon,Suntones,Tim Waurick,,02:17,,,,"Home-sick, heart-sick, nothing seems real …"
341,A Song Like Daddy Used To Play,Gb,Brian Beck,Dealer's Choice,Tim Waurick,Medium,02:31,,,Medium,When I hear that
251,A Sunday Kind of Love,G,Adam Reimnitz,Rounders,Tim Waurick,Medium,03:56,3,,Medium,I want a Sunday kind o' love ...
3,A Wink and a Smile,C,Kim Brittain,AHB,Tim Waurick,Medium,02:15,2,Standard,Medium,When you're blue and oh so lonely …
