Title,Arranger,Voicing
(I'm Afraid) The Masquerade Is Over,Ed Waesche,TTBB
(Let's Start) Tomorrow Tonight (from Smash),Kevin Keller,TTBB
(Let's Start) Tomorrow Tonight (from Smash),Larry Triplett,TTBB
(Let's Start) Tomorrow Tonight (from Smash),Theo Hicks,TTBB
(Now And Then There's) A Fool Such As I,Aaron Dale,TTBB
(They Long To Be) Close To You,Jeremey Johnson,TTBB
(Up A) Lazy River,Clay Hine,TTBB
50 Shades Of Brown,Greg Mallett,TTBB
A Change Is Gonna Come,Patrick McAlexander,TTBB
A Cottage for Sale,Theo Hicks,TTBB
A Foggy Day In London Town,Bryan Ziegler,TTBB
A House Is Not A Home,Steve Tramack,TTBB
A Little Patch Of Heaven,Aaron Dale,TTBB
A Little Street Where Old Friends Meet,Aaron Dale,TTBB
A Million Dreams (from The Greatest Showman),Kevin Keller,TTBB
A Newfangled Tango,Patrick McAlexander,TTBB
A Nightingale Sang In Berkeley Square,Kirk Young,TTBB
A Nightingale Sang in Berkeley Square,Larry Wright,TTBB
A Rainy Night In Rio,Kevin Keller,TTBB
A Son Of The Sea,Ed Waesche,TTBB
A Song Like Daddy Used To Play,Brian Beck,TTBB
A Spoonful Of Sugar (from Mary Poppins),David Zimmerman,TTBB
A Sunday Kind Of Love,Adam Reimnitz,TTBB
A Thousand Things,Melody Hine,TTBB
A Whole New World,Kevin Keller,TTBB
A Wink And A Smile (from Sleepless In Seattle),Robert Rund,TTBB
Ac-Cent-Tchu-Ate The Positive,Jeremey Johnson,TTBB
Accidents Will Happen,Jay Giallombardo,TTBB
After You've Gone,Don Gray,TTBB
Ain't Misbehavin',Greg Volk,TTBB
Ain't No Mountain High Enough,Patrick McAlexander,TTBB
Ain't That A Kick In The Head?,Rich Hasty,TTBB
Ain't That A Kick In The Head?/Don't Let It Go To Your Head,Mike Menefee/Jeremiah Pope,TTBB
Ain't We Got Fun?,Anthony Bartholomew,TTBB
Alabamy Bound,David Wright,TTBB
All Aboard For Dixie Land,David Wright,TTBB
All About Love,Kohl Kitzmiller,TTBB
All I Do Is Dream Of You,Aaron Dale,TTBB
All My Exes Live In Texas,Aaron Dale,TTBB
All My Loving,Rasmus Krigström,TTBB
All Star,Patrick McAlexander,TTBB
All The Time,Steve Tramack,TTBB
All The Way (from The Joker Is Wild),Joel Guyer,TTBB
All The Way (from The Joker Is Wild),Tom Gentry,TTBB
Almost There (from The Princess and the Frog),Aaron Dale,TTBB
Almost There (from The Princess and the Frog),Jason Dyer,TTBB
Almost There (from The Princess and the Frog),Joel Guyer,TTBB
Almost There (from The Princess and the Frog),Simon Arnott,TTBB
Always,Mark Hale/Don Gray,TTBB
Always,Rob Hopkins,TTBB
American Tune,Steve Tramack,TTBB
And This Is My Beloved,David Wright,TTBB
Any Time,Greg Volk,TTBB
Anything Goes,Don Gray,TTBB
Anytime At All,Greg Volk,TTBB
Anytime At All,Wayne Grimmer,TTBB
Are You Lonesome Tonight?,Tom Gentry,TTBB
As Long As I'm Singin',Mike Menefee,TTBB
As Long As I'm Singing,Mike Menefee,TTBB
As Long As You're Mine (from Wicked),Theo Hicks,TTBB
As Time Goes By,Walter Latzko,TTBB
At A Georgia Camp Meeting,Clay Hine,TTBB
At Last (from Sun Valley Serenade),Clay Hine,TTBB
At Long Last Love (from You Never Know),Andrew Carolan,TTBB
At This Moment,Patrick McAlexander,TTBB
Audition (from La La Land),Matt Astle,TTBB
B & O Line,Bob Disney,TTBB
Baby Mine,Clay Hine,TTBB
"Baby, It's You",Adam Reimnitz,TTBB
