Song Title|Voicing|Arranger
'39|SATB|Anders Lindqvist
'39|TTBB|Anders Lindqvist
'C' is for cookie|SATB|Jay Dougherty
'C' is for cookie|SSAA|Jay Dougherty
'C' is for cookie|TTBB|Jay Dougherty
'Round Midnight|TTBB|David Wright
'Round Midnight|TTBB|Wayne Grimmer
'Tain't What You Do (It's the Way That You Do It)|TTBB|Patrick McAlexander
'Taint What You Do (It’s The Way That you Do It)|TTBB|Patrick McAlexander
'Til I Hear You Sing|SATB|Theodore Hicks
'Til I Hear You Sing|SSAA|June Berg
'Til I Hear You Sing|SSAA|Theo Hicks
'Til I Hear You Sing|SSAA|Theodore Hicks
'Til I Hear You Sing|TTBB|Adam Reimnitz
'Til I Hear You Sing|TTBB|Theodore Hicks
'Til I Hear You Sing (from Love Never Dies)|TTBB|Theo Hicks
'Til the Season Comes 'Round Again|TTBB|Adam Reimnitz
'Til Tomorrow|SSAA|Jo Lund
'Til Tomorrow|SSAA|Joey Minshall
'Til Tomorrow|SSAA|Nancy Bergman
'Til Tomorrow|TTBB|Robert Meyer
'Tis the Gift to be Simple|SATB|Tamra Perez
"Black Hills Of Dakota (Theme From ""Calamity Jane"")"|TTBB|Dennis Driscoll
"Cruisin' Along In My Old Model ""T"""|TTBB|Ray Buntaine
"If I Knock The ""L"" Out Of Kelly"|SSAA|Jo Lund
"If I Knock The ""L"" Out Of Kelly"|TTBB|J Rae Jamieson
"If I Knock The ""L"" Out Of Kelly"|TTBB|Jack Baird
"If I Knock The ""L"" Out Of Kelly"|TTBB|Paul Engel
"If I Knock The ""L"" Out Of Kelly"|TTBB|R. J. Margison
"If I Knock The ""L"" Out Of Kelly"|TTBB|Tom Gentry
"Kentucky's Way Of Sayin', ""Good Morning"""|TTBB|Douglas Smith
"Let Me ""Us"" Entertain You"|SSAA|Jo Lund
"Medley: Take The ""A"" Train, Thomas Theme"|TTBB|Melody Hine
"Take The ""A"" Train"|SATB|Joe Mannherz
"Take The ""A"" Train"|TTBB|Wayne Grimmer
"The Restroom Door Said ""Gentlemen"""|TTBB|Jim West
"Tho' I'm Not The First To Call You ""Sweetheart"""|TTBB|Burt Szabo
"Who Could Ever Love You More? (Alt. title, ""Miracle"")"|TTBB|Kevin Keller
"You Can't Play ""Sweet Adeline"" On No Piano"|TTBB|David Wright
('til) I Kissed You|TTBB|Larry Wright
(Everybody's Waitin' for) The Man with the Bag|TTBB|Dave Briner
(Everybody's Waitin' For) The Man With The Bag|TTBB|Tom Gentry
(Ghost) Riders In The Sky|SATB|Larry Triplett
(Ghost) Riders In The Sky|SSAA|Larry Wright
(Ghost) Riders In The Sky|TTBB|Anastasio Rossi
(Ghost) Riders In The Sky|TTBB|Dave Briner
(Ghost) Riders In The Sky|TTBB|Jon Nicholas
(Ghost) Riders In The Sky|TTBB|Larry Wright
(He's A) Rag Picker|TTBB|Robert Rund
(Here Am I) Broken Hearted|TTBB|Thomas Gentry
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song|TTBB|Mark Goodney
(Hey, Won't You Play) Another Somebody Done Somebody Wrong Song|TTBB|Burt Szabo
(I Found A) Million Dollar Baby|SSAA|Renee Craig
(I'll) Tell My Ma|SATB|Mark Stevens
(I'm Afraid) The Masquerade Is Over|SSAA|Ed Waesche
(I'm Afraid) The Masquerade Is Over|TTBB|Ed Waesche
(It Must've Been Ol') Santa Claus|TTBB|Matt Astle
(Let Me Be Your) Teddy Bear|TTBB|Aaron Dale
(Let's Start) Tomorrow Tonight (from Smash)|TTBB|Kevin Keller
(Let's Start) Tomorrow Tonight (from Smash)|TTBB|Larry Triplett
(Let's Start) Tomorrow Tonight (from Smash)|TTBB|Theo Hicks
(Love Is) The Tender Trap|SSAA|Steve Tramack
(Love Is) The Tender Trap|TTBB|Jim Shubert
(Love Is) The Tender Trap|TTBB|Steve Tramack
(Now and Then There's) A Fool Such as I|TTBB|Aaron Dale
(Them Was The) Good Old Days|SSAA|Brian Beck
(There's No Place Like) Home for the Holidays|SATB|Russ Foris & Burt Szabo
(There's No Place Like) Home for the Holidays|SSAA|Russ Foris & Burt Szabo
(There's No Place Like) Home for the Holidays|TTBB|Russ Foris & Burt Szabo
(They Long To Be) Close To You|TTBB|Jeremey Johnson
(They Long To Be) Close To You|TTBB|Joe Liles
(This Is) Dedicated to The One I Love|TTBB|Jeremey Johnson
(Up A) Lazy River|TTBB|Clay Hine
(When It's) Darkness on the Delta|SATB|Barbershop Harmony Society
(When It's) Darkness on the Delta|TTBB|Inc. SPEBSQSA
(You Are) My Special Angel|SSAA|Kevin Keller
(You're My) Soul and Inspiration|TTBB|Larry Wright
*On Eagles' Wings|SSAA|Jarmela Speta
10,000 Hours|TTBB|Cay Outerbridge
100 Years|SSAA|Carole Prietto
1927 Kansas City|SSAA|Jay Giallombardo
1927 Kansas City|TTBB|Brian Beck
1927 Kansas City|TTBB|Jay Giallombardo
1957|SATB|Deke Sharon
2:57 Ed Sullivan Show|TTBB|Clay Hine
20 Years|SATB|Nicholas Wright
20th Century Rag|TTBB|Walter Latzko
22|SATB|Nicholas Wright
23rd Psalm (Vicar Of Dibley Theme)|SSAA|Howard Goodall
24K Magic|TTBB|Nicholas Wright
25 or 6 to 4|TTBB|Aaron Dale
3 Little Fishies|SSAA|Saxie Dowell
3 X5|SATB|Deke Sharon
409|TTBB|Marty Israel
50 Shades Of Brown|TTBB|Greg Mallett
50 States In Rhyme|TTBB|Jeremey Johnson
50,000 Names|TTBB|Tom Gentry
50,60,70 Medley|SSAA|Brian Beck
50's Rock and Roll Medley|TTBB|Kevin Keller
50s Medley|TTBB|Jay Giallombardo
59th Street Bridge Song|SSAA|Bev Sellers
59th Street Bridge Song|SSAA|Marge Bailey
59th Street Bridge Song (Feelin' Groovy)|TTBB|Don Gray
59th Street Bridge Song (Feelin' Groovy) (Adult)|SSAA|Marge Bailey
59th Street Bridge Song (Feelin' Groovy) (YWIH)|SSAA|Marge Bailey
7|SSAA|Deke Sharon
70's Medley|SSAA|Jim Arns
76 Trombones|SSAA|Nancy Bergman
789|TTBB|Steve Wolf
8 (circle)|TTBB|Nicholas Wright
93 Million Miles|SATB|Ken Potter
99 Bottles of Beer|TTBB|Tom Gentry
A Band Of Brothers|TTBB|Larry Triplett
A Barbershop Hello!|SSAA|Jo Lund
A Barbershop Tango|TTBB|Sherwyn Heckt, Alden Parker
A Barbershop Time Of Your Life|TTBB|Joe Liles
A Beatles Celebration|TTBB|Greg Volk
A Beautiful Friendship|SSAA|Walter Latzko
A Beautiful Lady In Blue|TTBB|Chris Arnold
A Bird Without Wings|SSAA|Kay Bromert
A Bit of Earth|SSAA|Steve Tramack
A Bit of Earth|TTBB|Theodore Hicks
A Blossom Fell|TTBB|Earl Moon
A Blossom Fell|TTBB|Robert Rund
A Boy And A Girl|SATB|Eric Whitacre
A Brand New Day|SATB|Deke Sharon
A Broken Heart|TTBB|Burt Szabo
A Bundle of Old Love Letter|SSAA|Carolyn Schmidt
A Bundle of Old Love Letter|SSAA|Nancy Bergman
A Bundle of Old Love Letters|TTBB|SPEBSQSA
A Bundle Of Old Love Letters|SSAA|Carolyn Schmidt
A Bundle Of Old Love Letters|SSAA|David Wright
A Bushel And A Peck|SSAA|Jay Giallombardo
A Bushel And A Peck|SSAA|Jeanne Elmuccio
A Bushel And A Peck|SSAA|Marge Bailey
A Bushel And A Peck|SSAA|Patrick McAlexander
A Bushel And A Peck|TTBB|Jay Giallombardo
A Bushel And A Peck|TTBB|Mark Goodney
A Bushel And A Peck|TTBB|Walter Latzko
A Capital Ship (The Walloping Window Blind)|TTBB|David Ebersole
A cappella in Acapulco|SATB|Joe Mannherz
A Carol Medley|SSAA|Carolyn Schmidt
A Carol Medley|SSAA|Floyd Connett
A Certain Smile|SSAA|Diane Clark
A Certain Smile|TTBB|Joe Mannherz
A Change In My Life|SATB|Deke Sharon
A Change Is Gonna Come|TTBB|Patrick McAlexander
A Child is Born|SATB|Joe Mannherz
A Child is Born|TTBB|Wayne Grimmer
A childs prayer|TTBB|Joe Mannherz
A Chocolate Sundae on a Saturday Night|SSAA|Jeremey Johnson
A Chocolate Sundae on a Saturday Night|TTBB|Jeremey Johnson
