Song Title|Voicing|Arranger
'Til I Hear You Sing|SSAA|Theo Hicks
'Til the Season Comes 'Round Again|TTBB|Adam Reimnitz
(Everybody's Waitin' For) The Man With The Bag|TTBB|Tom Gentry
(Ghost) Riders In The Sky|TTBB|Dave Briner
(Ghost) Riders In The Sky|TTBB|Jon Nicholas
(I Found A) Million Dollar Baby|SSAA|Renee Craig
(I'm Afraid) The Masquerade Is Over|TTBB|Ed Waesche
(Them Was The) Good Old Days|SSAA|Brian Beck
(You Are) My Special Angel|SSAA|Kevin Keller
*On Eagles' Wings|SSAA|Jarmela Speta
100 Years|SSAA|Carole Prietto
1927 Kansas City|TTBB|Brian Beck
2:57 Ed Sullivan Show|TTBB|Clay Hine
23rd Psalm (Vicar Of Dibley Theme)|SSAA|Howard Goodall
3 Little Fishies|SSAA|Saxie Dowell
409|TTBB|Marty Israel
50,60,70 Medley|SSAA|Brian Beck
50's Rock and Roll Medley|TTBB|Kevin Keller
50s Medley|TTBB|Jay Giallombardo
59th Street Bridge Song|SSAA|Bev Sellers
59th Street Bridge Song|SSAA|Marge Bailey
59th Street Bridge Song (Feelin' Groovy)|TTBB|Don Gray
59th Street Bridge Song (Feelin' Groovy) (Adult)|SSAA|Marge Bailey
59th Street Bridge Song (Feelin' Groovy) (YWIH)|SSAA|Marge Bailey
70's Medley|SSAA|Jim Arns
76 Trombones|SSAA|Nancy Bergman
789|TTBB|Steve Wolf
A Band Of Brothers|TTBB|Larry Triplett
A Barbershop Tango|TTBB|Sherwyn Heckt, Alden Parker
A Beatles Celebration|TTBB|Greg Volk
A Beautiful Lady In Blue|TTBB|Chris Arnold
A Blossom Fell|TTBB|Earl Moon
A Boy And A Girl|SATB|Eric Whitacre
A Bundle of Old Love Letter|SSAA|Carolyn Schmidt
A Bundle of Old Love Letter|SSAA|Nancy Bergman
A Bundle Of Old Love Letters|SSAA|Carolyn Schmidt
A Bundle Of Old Love Letters|SSAA|David Wright
A Bushel And A Peck|SSAA|Marge Bailey
A Carol Medley|SSAA|Floyd Connett
A Chocolate Sundae On A Saturday Night|TTBB|Jeremey Johnson
A Christmas To Remember|TTBB|Jim Clancy
A Christmas Wish|TTBB|Richard Loebakka
A Dream is a Wish Your Heart Makes|SSAA|Lorraine Rochefort
A Dream Is A Wish Your Heart Makes|SSAA|Lorraine Rochefort Joey Minshall
A Dream Is A Wish Your Heart Makes|TTBB|David Wright
A Fool Such As I|TTBB|Aaron Dale
A Gaelic Blessing|TTBB|Jon Nicholas
A Garden in the Rain|SSAA|David Harrington
A Good Man is Hard to Find|SSAA|Walter Latzko
A Good Man Is Hard To Find|SSAA|Floyd Connett
A Grinch Medley|SSAA|Nancy Bergman
A Hard Day's Night|TTBB|Jon Nicholas
A Hard Day's Night|TTBB|Liz Garnett
A Hard Days Night|TTBB|Liz Garnet
A Holly Jolly Christmas|TTBB|Kirby Shaw
A Hundred and Sixty Acres|TTBB|Jordan Johnson
A Hundred Years From Today|SSAA|Marsha Zwicker
A Jingle Bell Travelogue|SSAA|Kay Bromert
A Kid Named Joe|TTBB|David Wright
A Little Bit O' Heaven|SSAA|Jay Giallombardo
A Little Bit O' Heaven|TTBB|Jay Giallombardo
A Little Bit Of Happiness|TTBB|Unspecified
A Little Bit of Heaven|SSAA|Renee Craig/Joni Bescos
A Little Bit of Heaven, Sure They Called It Ireland|TTBB|Steve Jamison
A Little Less Conversation|SSAA|David Wright
A Little Old Lady in Tennis Shoes|SSAA|Mary Coffman
A Little Patch Of Heaven|SSAA|Aaron Dale
A Little Patch Of Heaven|TTBB|Aaron Dale
A Little Street Where Old Friends Meet|TTBB|Rob Hopkins
A Little Street Where Old Friends Meet|TTBB|Sam Breedon
A Long, Slow Train|TTBB|Jon Nicholas
A Lot of Living to Do|SSAA|Joey Minshall
A Love That Will Last|SSAA|Henrik Rosenberg
A Lovely Way To Spend An Evening|TTBB|Earl Moon / Ed Waesche
A Man Of Constant Sorrow|TTBB|Aaron Dale
A Marshmallow World|SSAA|Joni Bescos
A Mighty Fortress Is Our God|TTBB|Joe Johnson
A New York Medley In Three Quarter Time|TTBB|Burt Szabo
A Nightingale Sang In Berekely Square|SSAA|Joni Bescos
A Nightingale Sang in Berkeley Square|SSAA|Ann Minihane
A Nightingale Sang in Berkeley Square|SSAA|Joni Bescos
A Nightingale Sang In Berkeley Square|SATB|Gene Puerling
A Nightingale Sang In Berkeley Square|TTBB|Brian Beck
A Nightingale Sang In Berkeley Square|TTBB|SK Grundy
A Nightingale Sang In Berkeley Square|TTBB|Tom Gentry
A Nightingale Sang in Berkely Square|SSAA|Tedda Lippincott
A Nightingale Sang In Berkely Square|TTBB|Brian Beck
A Nightingale Sang In Berkely Square|TTBB|Webb Comfort
A Nightingale Sang In Berkley Square|SATB|Gene Puerling
A Nightingale Sang In Berkley Square|SSAA|A Minihane
A Nightingale Sang In Berkley Square|SSAA|Renee Craig
A Place in the Choir|SSAA|Lorraine Rochefort
A Place in the Choir|SSAA|Tom Gentry
A Prayer For You|TTBB|Richard Loebakka
A Pretty Girl Is Like A Melody/With A Song In My Heart Medley(Jay Giallomb|TTBB|Jay Giallombardo
A Quiet Place|SATB|Jerry Rubino
A Ride With Glen Miller (Medley)|TTBB|Paul Davies
A Room With a View|SSAA|Liz Garnett
A Shanty in Old Shanty Town|SSAA|Sylvia Alsbury
A Shanty In Old Shanty Town|TTBB|Unspecified
A Shine on Your Shoes|SSAA|Nancy Bergman
A Shine On Your Shoes|TTBB|Aaron Dale
A Son Of The Sea|TTBB|Ed Waesche
A Song For Mary|TTBB|Jay Giallombardo
A Song For The Little Guy|TTBB|David Wright
A Song of Friendship|SSAA|Joanne Chambers
A Spoonful Of Sugar|TTBB|Russ Foris
A Straw Hat And A Cane|TTBB|Unspecified
A Sunday Kind Of Love|TTBB|Adam Reimnitz
A Thousand Things|TTBB|Adam Scott
A Thousand Thoughts of You|TTBB|Larry Triplett
A Thousand Thoughts Of You|TTBB|Tom Gentry
A Thousand Years|SSAA|Henrik Rosenberg
A Tisket A Tasket|SSAA|Greg Volk
A Tree in the Meadow|SSAA|Ann Minihane
A Tree In The Meadow|SSAA|Ruby Rhea
A Whole New World|SSAA|David Wright
A Whole New World|SSAA|Joey Minshall
A Whole New World|TTBB|David Gillingham
A Wink and a Smile|TTBB|Steve Jamison
A Wink and A Smile|SSAA|Dave Briner
A Wink And A Smile|TTBB|Kim Brittain
A Wonderful Day Like Today|SSAA|Tedda Lippincott
A Wonderful Day Like Today|TTBB|Dick Floersheimer
A Wonderful Day Like Today|TTBB|Rob Hopkins
A Wonderful Day Medley|SSAA|Joey Minshall
A Wonderful Time Up There|TTBB|Kay Brooks
A-Tisket A-Tasket|SSAA|David Harrington
ABBA Medley|SSAA|Brian Beck
ABBA Medley|SSAA|Dan Naumann
ABBA Medley|SSAA|Debbie Hopkinson
ABBA Medley|TTBB|Dan Naumann
Abide with Me|TTBB|Ig Jakovac
Abilene|TTBB|G.E. Howe
Above My Head, I Hear Music In The Air|TTBB|David Wright
Ac-cent-chu-ate the Positive|TTBB|Jim West
Ac-cent-tch-uate the Positive|TTBB|Buzz Haeger
Ac-cent-tchu-ate the Positive|TTBB|Tom Gentry
Accentchuate The Positive|TTBB|Buzz Haeger
Accentuate the Positive|TTBB|Adam Reimnitz
Accentuate the Positive|TTBB|Clay Hine
Achy Breaky Heart|SSAA|Nancy Bergman
Adelaide's Lament|SATB|Steven Armstrong
Adiemus|SSAA|Karl Jenkins
Advance Australia Fair|SSAA|Renee Craig
Africa|SSAA|Kevin Keller
Africa|SSAA|Lorraine Rochefort
Africa|SSAA|Sandra Kerr
Africa|SSAA|Tom Gentry
Africa|TTBB|Kevin Keller
Africa|TTBB|Tony Searle
After The Ball|TTBB|Ted Hanna
After The Ball|TTBB|Tom Gentry
After the Curtain Comes Down|SSAA|Mary Coffman
After the Gold Rush|SSAA|Donna Stewart
After the Lovin'|SSAA|Jean Flinn
After You've Gone|SSAA|Anna Maria Parker
After You've Gone|SSAA|Bergman/Wright
After You've Gone|SSAA|Don Gray
After You've Gone|SSAA|Joni Bescos
After You've Gone|SSAA|Nancy Bergman/Leola Wright
After You've Gone|SSAA|Renee Craig
After You've Gone|SSAA|Steve Jamison
After You've Gone|TTBB|Alan Siegal
After You've Gone|TTBB|Don Gray
Aging Superheroes Medley|TTBB|Tom Gentry
Ain't Goin Down Till The Sun Comes Up|TTBB|Aaron Dale
Ain't He Sweet|SSAA|Lorraine Rochefort
Ain't He Sweet/Yes Sir, That's My Baby|SSAA|Clay Hine
Ain't Misbehavin'|SSAA|Dot Calvin
Ain't Misbehavin'|SSAA|Earl Moon, Ed Waesche
Ain't Misbehavin'|SSAA|Lorraine Rochefort
Ain't Misbehavin'|SSAA|Marge Bailey
Ain't Misbehavin'|SSAA|Tedda Lippincott
Ain't Misbehavin'|TTBB|Earl Moon / Ed Waesche
Ain't Misbehavin'|TTBB|Earl Moon and Ed Waesche
Ain't Misbehavin'|TTBB|Earl Moon, Ed Waesche
Ain't Misbehavin'|TTBB|Mel Knight
Ain't Misbehaving|SSAA|Greg Volk
Ain't No Mountain High Enough|SSAA|Deke Sharon
Ain't No Mountain High Enough|SSAA|Joey Minshall
Ain't She (He) Sweet|SSAA|Lorraine Rochefort
Ain't She Sweet|TTBB|Barbershop Harmony Society
Ain't She Sweet / Yes Sir That's My Baby|TTBB|Unspecified
Ain't That A Kick in the Head|SSAA|Rich Hasty
Ain't That A Kick In The Head|TTBB|Rich Hasty
Ain't We Got Fun|SSAA|JoAnne Ingels
Ain't We Got Fun|TTBB|Robert Meyer
Ain't We Got Fun/Sunny Side of the Street|SSAA|Nancy Bergman
Ain't-A That Good News|TTBB|Bev Sellers
Ain't-A That Good News (YWIH)|SSAA|Bev Sellers
Ain'ta That Good News|SSAA|Bev Sellers
Aint Misbehavin'|SSAA|Earl Moon/Ed Waesche
Aint No Mountain High Enough|SSAA|Joey Minshall
Air For Advent|TTBB|Tom Fetke
Aka-tombo|TTBB|Jim Henry
Alabama Jubilee|TTBB|Aaron Dale
Alabama Jubilee|TTBB|Tom Gentry
Alabama Medley|TTBB|Ed Waesche
Alabama/Cottontown|SSAA|Nancy Bergman
Alabamy Bound|SSAA|Unspecified
Alabamy Bound|TTBB|David Wright
Alabamy Bound/Alabama Jubilee Medley|SSAA|Tom Gentil
Aladdin Medley|TTBB|Aaron Dale
Aladdin Medley|TTBB|David Wright
Aladdin Medley 1|TTBB|Jay Giallombardo
Alaska Flag Song|SSAA|Mac Huff
Alaska Medley|SSAA|Tom Gentry
Alaska's Flag Song|TTBB|Unspecified
Alexander's Band Medley|SSAA|Dave Briner
Alexander's Band Medley|TTBB|Dave Briner
Alexander's Ragtime Band|SSAA|Bergman/Beck
Alexander's Ragtime Band|SSAA|Brian Beck
Alexander's Ragtime Band|SSAA|Greg Volk
Alexander's Ragtime Band|SSAA|Joni Bescos
Alexander's Ragtime Band|SSAA|Nancy Bergman
Alexander's Ragtime Band|TTBB|Barbershop Harmony Society
Alexander's Ragtime Band|TTBB|Burt Szabo
Alexander's Ragtime Band|TTBB|Ed Waesche
Alexander's Ragtime Band|TTBB|Steven Armstrong
Alexanders Ragtime Band|TTBB|Burt Szabo
Alice Blue Gown|TTBB|Barbershop Harmony Society
All Aboard for Dixie Land|TTBB|David Wright
All Aboard For Dixieland|TTBB|David Wright
All About That Bass|SATB|Henrik Rosenberg
All About That Bass|SATB|Wayne Grimmer
All About That Bass|SSAA|Elaine Gain
All Alone|TTBB|Ed Waesche
All Alone / What'll I Do?|TTBB|Walter Latzko
All American Girl|TTBB|Ed Waesche
All Creatures Of Our God And King|TTBB|Joe Johnson
All Dressed Up With A Broken Heart|SSAA|Carolyn Schmidt
All Dressed Up With A Broken Heart|TTBB|Rob Hopkins
All Dressed Up With A Broken Heart|TTBB|Tom Gentry
All God's Chillun Got Rhythm/Clap Yo' Hands|TTBB|Mark Hale
All I Do Is Dream Of You|SSAA|Marsha Zwicker
All I Do Is Dream Of You|TTBB|Aaron Dale
All I Do Is Dream Of You|TTBB|David Wallace
All I Do Is Dream Of You|TTBB|Kevin Keller
All I Have to Do Is Dream|SSAA|LaVeda Redfield
All I Have To Do Is Dream|SSAA|Tedda Lippincott
All I Have To Do Is Dream|TTBB|Barbershop Harmony Society
All I Have To Do Is Dream|TTBB|Jon Nicholas
All I Have To Do Is Dream|TTBB|Tom Gentry
All I Have To Do Is Dream (Adult)|SSAA|Tedda Lippincott
All I Have To Do Is Dream (YWIH)|SSAA|Tedda Lippincott
All I Want for Christmas is My Two Front Teeth|SSAA|Nancy Bergman
All I Want for Christmas is You|SSAA|June Berg
All I Want for Christmas Is You|SSAA|Kate Morrical
All I Want For Christmas Is You|SSAA|Larry Triplett
All I Want For Christmas Is You|TTBB|Larry Triplett
All My Lovin'|SSAA|Carolyn Schmidt
All My Lovin'|SSAA|June Berg
All My Loving|SSAA|Carolyn Schmidt
All Nation Rise|SATB|Jay Giallombardo
All Nations Rise|SSAA|Jay Giallombardo
All Nations Rise|TTBB|Jay Giallombardo
All of Me|SSAA|Carole Prietto
All of Me|SSAA|Joan D'Agostino
All of Me|SSAA|Tedda Lippincott
All Of Me|TTBB|Alan Levine
All Of Me|TTBB|Dennis Driscoll
All Of Me|TTBB|Dennis Malone
All Of Me|TTBB|Scott Kitzmiller
All of Me (Loves All of You)|SSAA|Elaine Gain
All of My Life|SSAA|Mary Grace Lodico
All of My Life|SSAA|Nancy Bergman
All Of My Life|SSAA|Larry Wright
All Over Nothing at All|SSAA|Ig Jakovac
All Over Nothing at All|TTBB|Ig Jakovac
All People That On Earth Do Dwell|TTBB|Jim Henry
All Rise|SATB|Dave Williamson
All That Jazz|SSAA|Ann Minihane
All That Jazz|SSAA|Clay Hine
All That Jazz|TTBB|Clay Hine
All That Jazz / Razzle Dazzle Medley|SSAA|Ann Minihane/Renee Craig
All That Jazz/Razzle Dazzle|SSAA|Ann Minihane/Renee Craig
All the Things You Are|SSAA|Elaine Gain
All The Things You Are|TTBB|Walter Latzko
All the Way|SSAA|Brent Graham
All the Way|SSAA|Clay Hine
All The Way|SSAA|Dave Briner
All The Way|SSAA|Joni Bescos
All The Way|SSAA|Tom Gentry
All The Way|SSAA|Unspecified
All The Way|TTBB|Dave Briner
All The Way|TTBB|Pete Rupay
All The Way|TTBB|Tom Gentry
All The World Will Be Jealous Of Me|TTBB|David Wright
All The World Will Be Jealous Of Me Verse|TTBB|David Wright
All Things Bright Medley|TTBB|Joe Johnson
All You Need Is Love|SSAA|Carolyn Schmidt
Alleluia|SSAA|G. Blackwell
Alleluia|TTBB|David Wright
Alleluia|TTBB|Jim Henry
Alleluia|TTBB|Ralph Manuel
Alleluia|TTBB|Randall Thompson
Almost Like A Song|SSAA|Unspecified
Almost Like Being in Love|SSAA|Sonny Steffan
Almost Like Being In Love|SSAA|David Harrington
Almost Like Being In Love|TTBB|David Harrington
Almost Like Being In Love|TTBB|Eric King
Almost Like Being In Love|TTBB|Jay Giallombardo
Always|SSAA|Joni Bescos
Always|SSAA|Mark Hale/Don Gray
Always|TTBB|Mark Hale
Always|TTBB|Mark Hale, Don Gray
Always|TTBB|Mark Hale/Don Gray
Always Leave 'Em Laughing|TTBB|Dick Floersheimer
Always Live Down By The Firehouse|TTBB|Will Hamblet
Always Look On The Bright Side Of Life|TTBB|Will Hamblet
Always On My Mind|TTBB|David Gillingham
Am I Ready?|TTBB|Jon Nicholas
Am I Wasting My Time On You|SSAA|Jo Lund
Amarillo (Is This The Way To)|TTBB|Linda Corcoran
Amazing Grace|SSAA|Carolyn Butler
Amazing Grace|SSAA|Margaret Little
Amazing Grace|SSAA|Mo Rector/Kim Hulbert
Amazing Grace|SSAA|Sylvia Alsbury
Amazing Grace|TTBB|Dennis Malone
Amazing Grace|TTBB|Joe Johnson
Amazing Grace|TTBB|Mo Rector
Amazing Grace|TTBB|Tom Gentry
Amazing Grace/ My Chains Are Broken|SSAA|Jay Giallombardo
Amazing Grace/Oldtime Religion|SSAA|Nancy Bergman
Amazing-I Gotta Feeling-Firework|SSAA|Joey Minshall
Amen|TTBB|Unspecified
America|SSAA|Jo Lund
America|SSAA|Joe Liles
America|SSAA|Peg Millard
America|TTBB|Jim Clancy
America Medley|SSAA|Mary Coffman
America Medley (Am The Beautiful God Bless Am)|SSAA|Judy Vidal
America the Beautiful|SSAA|Joe Liles
America the Beautiful|SSAA|Nancy Bergman, Joni Bescos
America the Beautiful|SSAA|Suzy Buerer
America the Beautiful|TTBB|John Hayden
America the Beautiful|TTBB|Sean Milligan
America The Beautiful|SATB|Nancy Bergman
America The Beautiful|SSAA|Bergman/Bescos
America The Beautiful|SSAA|Nancy Bergman
America the Beautiful Medley|SSAA|Tedda Lippincott
America The Beautiful Overlay|SSAA|Joe Liles
America The Beautiful Overlay|TTBB|Joe Liles
America, the Beautiful|SSAA|Bergman/Bescos
America, The Beautiful|SATB|Darmon Meader
America, The Beautiful|TTBB|Dennis Malone
America, The Beautiful|TTBB|Mark Hayes
America, The Beautiful / Liberty Anthem Medley|TTBB|Shaun Agnew
America, the Dream Goes On|SSAA|Tedda Lippincott
America/Give Me Your Tired|TTBB|Jim Clancy
America/God Bless the USA Medley|TTBB|Unspecified
American / Canadian Ode To Joy|TTBB|Jay Giallombardo
American Anthem|SSAA|Joey Minshall
American Armed Forces Medley|TTBB|Jim Clancy
American Revolution Medley - with narration|TTBB|Barbershop Harmony Society
American Tune|TTBB|David Wright
American-Canadian Ode To Joy|TTBB|Jay Giallombardo
Among My Souvenirs|TTBB|Barbershop Harmony Society
Amy|TTBB|Alex Kaiserman
An American Medley|TTBB|Mike Wallen
An American Trilogy|TTBB|Jim Clancy
An American Tune (Simon & Garfunkel)|TTBB|Steve Tramack
An Irish Blessing|SSAA|Sylvia Alsbury
An Uptune In Search Of A Song|TTBB|Larry Triplett
Anchor's Aweigh|SSAA|June Dale
Anchors Aweigh|TTBB|Unspecified
And All That Jazz|SSAA|Ann Minihane
And So it Goes|TTBB|Kirby Shaw
And So It Goes|SATB|Bob Chilcott
And So It Goes|SSAA|Tedda Lippincott
And So It Goes|SSAA|Unspecified
And So It Goes|TTBB|Kirk Young
And So It Goes (Lippincott)|SSAA|Tedda Lippincott
And So It Goes (Shaw)|SSAA|Kirby Shaw
And So It Goes (SSAA)|SSAA|Kirby Shaw
And So To Sleep Again|SATB|Buzz Haeger
And This Is My Beloved|TTBB|David Wright
Angbatsblues|TTBB|Niclas Lindgren
Angel Eyes|TTBB|Hal Maples
Angel Of Music/Phantom Of The Opera|SSAA|David Wright
Angels (Robbie Williams)|TTBB|Brad Stephenson
Angels Among Us|SSAA|Tedda Lippincott
Angels On Your Pillow|TTBB|Cary Burns
Angels We Have Heard on High|SSAA|Sylvia Alsbury
Angels We Have Heard On High|SSAA|Renee Craig
Angels We Have Heard On High|TTBB|Barbershop Harmony Society
Angels We Have Heard On High|TTBB|Yuletide Favorites
Angina in the Morning|TTBB|Unspecified
Angry Bill Bailey Medley|SSAA|Nancy Bergman
Angry Bill Bailey Medley (heavy interp)|SSAA|Nancy Bergman
Angry/Bill Bailey Medley|SSAA|Nancy Bergman
Animal Crackers|SSAA|Tom Gentry
Annie|TTBB|Burt Szabo
Annie's Song|TTBB|Pete Benson
Anniversary Song|TTBB|Tom Gentry
Another Op'nin, Another Show|SSAA|Ann Minihane
Another Op'nin' Another Show|SSAA|Dot Calvin
Another Op'nin' Another Show|SSAA|Tom Gentry
Another Op'nin', Another Show|TTBB|Tom Gentry
Another Openin' Another Show|SSAA|Dot Calvin
Another Somebody Done Somebody Wrong Song|TTBB|Barbershop Harmony Society
Anthem|SSAA|Growing Girls
Anthem|SSAA|Olle Nyman
Anthem|TTBB|Olle Nyman
Anthem (Chess)|SSAA|Olle Nyman
Any Dream Will Do|SSAA|Tedda Lippincott
Any Man Of Mine|SSAA|Tedda Lippincott
Any Time|SSAA|Greg Volk
Any Time|TTBB|Greg Volk
Any Time At All|TTBB|Unspecified
Anything Goes|SSAA|George Avener
Anything Goes|TTBB|Rob Hopkins
Anything is Nice If It Comes From Dixieland|SSAA|Nancy Bergman
Anything You Can Do|SATB|Don Gray
Anything You Can Do|SATB|Tom Gentry
Anything You Can Do|SSAA|Tom Gentry
Anything You Can Do|TTBB|Don Gray
Anything You Can Do|TTBB|Jay Giallombardo
Anytime|TTBB|Greg Volk
Anyway|SSAA|Joey Minshall
Anyway|SSAA|Steve Jamison
Anywhere I Wander|SSAA|Nancy Bergman
Applause|SSAA|Marge Bailey
Applause|TTBB|Don Gray
Apple Blossom Time|SSAA|Nancy Bergman
April Fool|SSAA|Sylvia Alsbury
April Showers|SSAA|David Harrington
April Showers|TTBB|Dennis Driscoll
Aquarius|SSAA|Dot Calvin
Aquarius|TTBB|Larry Wright
Are You From Dixie?|TTBB|Barbershop Harmony Society
Are You From Dixie? (Cause I'm From Dixie Too)|TTBB|Lloyd Steinkamp
Are You Havin' Any Fun?|SSAA|Kevin Keller
Are You Havin' Any Fun?|TTBB|Kevin Keller
Are You Lonesome Tonight|SSAA|Brent Graham
Are You Lonesome Tonight|SSAA|Nancy Bergman
Are You Lonesome Tonight|SSAA|Tom Gentry
Are You Lonesome Tonight|TTBB|Brent Graham
Are You Lonesome Tonight|TTBB|Nancy Bergman
Are You Lonesome Tonight?|SSAA|Nancy Bergman
Are You Lonesome Tonight?|TTBB|Barbershop Harmony Society
Are You Lonesone Tonight?|TTBB|Barbershop Harmony Society
Are You The One|TTBB|Adam Reimnitz
Armed Forces Medley|SATB|Barbara Lyle
Armed Forces Medley|SSAA|Nancy Bergman
Armed Forces Medley|SSAA|Tedda Lippincott
Armed Forces Medley|TTBB|Darin Drown
Armed Forces Medley|TTBB|Fred King
Armed Forces Medley|TTBB|John Grant, Fred King, Tom Ewald
Armed Forces Medley|TTBB|Terry Ludwig
Armed Services Medley|SSAA|Dot Short
