Song Title|Voicing|Arranger
(Everybody's Waitin' for) The Man with the Bag|TTBB|Dave Briner
(Here Am I) Broken Hearted|TTBB|Thomas Gentry
(Hey, Won't You Play) Another Somebody Done Somebody Wrong Song|TTBB|Burt Szabo
(I'm Afraid) The Masquerade Is Over|SSAA|Ed Waesche
(I'm Afraid) The Masquerade Is Over|TTBB|Ed Waesche
(Let Me Be Your) Teddy Bear|TTBB|Aaron Dale
(Love Is) The Tender Trap|TTBB|Steve Tramack
(Now and Then There's) A Fool Such as I|TTBB|Aaron Dale
(There's No Place Like) Home for the Holidays|SATB|Russ Foris & Burt Szabo
(There's No Place Like) Home for the Holidays|SSAA|Russ Foris & Burt Szabo
(There's No Place Like) Home for the Holidays|TTBB|Russ Foris & Burt Szabo
(They Long to Be) Close to You|TTBB|Joe Liles
(When It's) Darkness on the Delta|SATB|Barbershop Harmony Society
(When It's) Darkness on the Delta|TTBB|Inc. SPEBSQSA
100 Years|SSAA|Carole Prietto
409|TTBB|Marty Israel
A Bundle of Old Love Letters|TTBB|SPEBSQSA
A Cottage for Sale|TTBB|Theo Hicks
A Dream Is a Wish Your Heart Makes|TTBB|Gene Cokeroft
A Garland Of Old Fashioned Roses|TTBB|Louis Perry
A Groovy Kind of Love|TTBB|Tom Gentry
A Groovy Kind Of Love|SSAA|Tom Gentry
A Hard Day's Night|TTBB|Liz Garnett
A Little Less Conversation|SSAA|David Wright
A Little Street Where Old Friends Meet|TTBB|Burt Szabo
A Little Street Where Old Friends Meet|TTBB|Sam Breedon
A Little Talk with Jesus|TTBB|Burt Szabo
A Marshmallow World|TTBB|Adam Scott
A Pitch Pipe, A Song, and A Smile|TTBB|Val Hicks
A Pretty Girl Is Like A Melody|TTBB|Robert Meyer
A Ring To The Name Of Rosie|TTBB|Lloyd Steinkamp
A Son of the Sea|TTBB|Ed Waesche
A Spoonful of Sugar|TTBB|Russ Foris
A Straw Hat and a Cane|TTBB|BHS
A Sunday Kind of Love|TTBB|Adam Reimnitz
A Wink and a Smile|SATB|Kim Brittain
A Wink and a Smile|SSAA|Kim Brittain
A Wink And A Smile|TTBB|Kim Brittain
ABC|SATB|David Wright
ABC|SSAA|David Wright
ABC|TTBB|David Wright
Ac-cent-tchu-ate The Positive|TTBB|Buzz Haeger
Africa|SATB|Alex Morris
Africa|SSAA|Alex Morris
Africa|TTBB|Alex Morris
After You've Gone|SSAA|Don Gray
After You've Gone|TTBB|Don Gray
Ain't She Sweet|TTBB|Barbershop Harmony Society
Ain't We Got Fun|TTBB|Robert Meyer
Alabamy Bound|TTBB|Burt Szabo
Aladdin Medley|TTBB|Aaron Dale
Alexander's Ragtime Band|TTBB|Burt Szabo
Alexander's Ragtime Band|TTBB|the Barbershop Harmony Society
Alice Blue Gown|TTBB|SPEBSQSA
All Aboard For Dixie Land|TTBB|Earl Moon
All Alone|TTBB|Robert Meyer
All American Girl|TTBB|Ed Waesche
All By Myself|TTBB|Dennis Driscoll
All Dressed Up With A Broken Heart|TTBB|Thomas Gentry
All Hail Our Alma Mater|TTBB|Joe Liles
All Hail The Power Of Jesus|TTBB|Joe Liles
All I Have to Do is Dream (SATB) (arr. Gentry) (International Orders)|SATB|Tom Gentry
All I Have to Do is Dream (SATB) (arr. Gentry) (USA Orders)|SATB|Tom Gentry
All I Have to Do is Dream (SSAA) (arr. Gentry) (International Orders)|SSAA|Tom Gentry
All I Have to Do is Dream (SSAA) (arr. Gentry) (USA Orders)|SSAA|Tom Gentry
All I Have To Do Is Dream (TTBB) (arr. Gentry) (International orders)|TTBB|Tom Gentry
All I Have To Do Is Dream (TTBB) (arr. Gentry) (USA orders)|TTBB|Tom Gentry
All I Want For Christmas Is You|SATB|Larry Triplett
All I Want For Christmas Is You|SSAA|Larry Triplett
All I Want For Christmas Is You|TTBB|Larry Triplett
All That I Ask Is Love|TTBB|Inc. SPEBSQSA
All the Way|SSAA|Dave Briner
All the Way|TTBB|Dave Briner
All The World Will Be Jealous|TTBB|BHS
Alleluia|TTBB|James Henry
Almost Like Being in Love|TTBB|Eric King
Almost There (from THE PRINCESS AND THE FROG)|SSAA|Aaron Dale
Alone Medley|TTBB|Rob Campbell
Always|TTBB|Don Gray
Always|TTBB|Mark Hale and Don Gray
Always Look On The Bright Side Of Life|SSAA|Will Hamblet
Always Look On The Bright Side Of Life|TTBB|Will Hamblet
Am I Wasting My Time On You?|TTBB|Kirk Roose
Amazing|SATB|Robert Rund
Amazing Grace|SATB|Tom Gentry
Amazing Grace|SSAA|Tom Gentry
Amazing Grace|TTBB|Tom Gentry
America|TTBB|SPEBSQSA
America the Beautiful|SATB|Rob Hopkins
America the Beautiful|SSAA|Rob Hopkins
America The Beautiful|TTBB|Rob Hopkins
American Revolution Medley|TTBB|Dave Stevens
Among My Souvenirs|TTBB|BHS
Angry|TTBB|Dennis Driscoll
Any Little Girl Can Make A Bad|TTBB|Burt Szabo
Anything You Can Do, I Can Do Better|TTBB|Don Gray
April Showers|TTBB|Dennis Driscoll
Armed Forces Medley|TTBB|Fred King, John R. Grant, Steve Delehanty, Tom Ewald
As Long as I Got You|SATB|Eric Ruthenberg
As Long as I Got You|SSAA|Eric Ruthenberg
As Long as I Got You|TTBB|Eric Ruthenberg
As Long as I'm Singin'|SSAA|Mike Menefee
As Long as I'm Singin'|TTBB|David Wright
As Long as I'm Singin'|TTBB|Mike Menefee
Asleep In The Deep|TTBB|SPEBSQSA
At The Moving Picture Ball|TTBB|Louis Perry
Auld Lang Syne / I Love You Truly / Tell Me Why (3 Song Set)|TTBB|SPEBSQSA
Aura Lee|TTBB|SPEBSQSA
Aura Lee/Love Me Tender Medley|TTBB|Tom Gentry
Autumn Leaves|TTBB|Stephen Delehanty
Baby Face|TTBB|Dave Stevens
Baby Won't You Please Come Home|TTBB|Earl Moon
Back In Business|SATB|David Wright
Back In Business|SSAA|David Wright
Back In Business|TTBB|David Wright
Back in Dad and Mother's Day|TTBB|Louis Perry
Back In Dixie Again|TTBB|Earl Moon
Back In My Home Town|TTBB|S. K. Grundy
Back In The Good Old Days|TTBB|Burt Szabo
Back In The Old Routine|TTBB|Greg Backwell
Back in the Saddle Again|TTBB|Jon Nicholas
Back In Those Days Gone By|TTBB|Mike Senter
Bad Buncha Boys|TTBB|Kirk Roose
Bad, Bad Leroy Brown|TTBB|Fran Wilson
Ballin' The Jack|TTBB|Jack Baird
Band Played On, The|TTBB|Rob Hopkins
Barbershop All Year Round (Medley)|TTBB|Smith, Embury, Merrill, & Stevens
Barbershop Harmony Time|SSAA|Dave Stevens
Barbershop Harmony Time|TTBB|Dave Stevens
Barbershop Time of Your Life|TTBB|Joe Liles
Bare Necessities|SATB|Tom Gentry
Bare Necessities|SSAA|Thomas Gentry
Bare Necessities|TTBB|Thomas Gentry
Barefoot Days|TTBB|Earl Moon
Basin Street Blues|SSAA|Dave Briner
Basin Street Blues|TTBB|Dave Briner
Battle Hymn Of The Republic|TTBB|Barbershop Harmony Society
Battle Hymn Of The Republic|TTBB|Joe Liles
Be Careful, It's My Heart|SSAA|Adam Reimnitz
Be Our Guest (from Walt Disney's "Beauty and the Beast"|TTBB|Stephen Delehanty
Be Our Guest (from Walt Disney's "Beauty and the Beast")|SATB|Steve Delehanty
Be Our Guest (from Walt Disney's "Beauty and the Beast")|SSAA|Stephen Delehanty
Beach Boys Medley|SSAA|Tom Gentry
Beach Boys Medley|TTBB|Stephen Delehanty
Beach Boys Medley|TTBB|Tom Colville
Beach Boys Medley|TTBB|Tom Gentry
Beatles Sunshine Medley|SATB|Mark Hale
Beatles Sunshine Medley|SSAA|Mark Hale
Beatles Sunshine Medley|TTBB|Mark Hale
Beauty and the Beast|SSAA|Nina Herdes
Beauty And The Beast|TTBB|Fred and Carol Kingsbury
Beer Barrel Polka|TTBB|Barbershop Harmony Society
Being with You|TTBB|Steve Delehanty
Betty Co-Ed|TTBB|Jack Baird
Bill Bailey, Won't You Please Come Home|TTBB|Don Gray
Birth Of the Blues|TTBB|Roger Payne
Bless The Broken Road|SSAA|Carole Prietto
Blue Moon of Kentucky|SSAA|Aaron Dale
Blue Moon of Kentucky|TTBB|Aaron Dale
Blue Shadows on the Trail|TTBB|Jon Nicholas
Blue Skies|TTBB|Clayton Hine
Blue Skies|TTBB|Ed Waesche
Blue Velvet|TTBB|Curt Kimball
Bohemian Rhapsody|TTBB|Deke Sharon & Adam Scott
Boot Scootin' Boogie|SATB|Dan Wessler
Boot Scootin' Boogie|SSAA|Dan Wessler
Boot Scootin' Boogie|TTBB|Dan Wessler
Bread and Gravy|TTBB|David Wright
Breaking Up Is Hard To Do|SATB|Tom Campbell
Breaking Up Is Hard To Do|SSAA|Tom Campbell
Breaking Up Is Hard To Do|TTBB|Tom Campbell
Bright Was the Night|TTBB|David Wright
Bright Was The Night|TTBB|Inc. SPEBSQSA
Bring Back Those Days|TTBB|Ed Waesche
Bring Back Those Good Old Days|TTBB|BHS
Bring Back Those Vaudeville Days|TTBB|Joe Liles
Bring Him Home|SSAA|Richard Hasty
Bring Him Home|TTBB|Rich Hasty
Broadway On Opening Night|TTBB|Joe Liles
Broadway Rose|TTBB|Dennis Burnett
By the Beautiful Sea|TTBB|Val Hicks
By The Light Of The Silvery Moon|TTBB|Val Hicks
Bye Bye Blackbird|TTBB|Brian Beck
Bye Bye Blues|TTBB|BHS
Bye Bye Blues|TTBB|Val Hicks
Bye Bye Love|SATB|Tom Gentry
Bye Bye Love|SSAA|Tom Gentry
Bye Bye Love|TTBB|Tom Gentry
Calendar Girl|TTBB|Jon Nicholas
California Dreamin'|TTBB|Joe Johnson
California Here I Come|TTBB|Dave Stevens
California Here I Come (Dealer's Choice version)|TTBB|Dave Stevens
Call It Nostalgia|TTBB|Stahl
Can You Bring Back The Heart I Gave You?|TTBB|Burt Szabo
Can You Feel the Love Tonight?|SATB|June Dale
Can You Feel the Love Tonight?|SSAA|June Dale
Can You Feel the Love Tonight?|TTBB|June Dale
Can't Stop the Feeling|SSAA|Aaron Dale
Can't Stop the Feeling|TTBB|Aaron Dale
Can't Stop the Feeling!|SATB|Aaron Dale
Can't You Hear Me Calling Caroline|TTBB|Louis Perry
Carolina In The Morning|TTBB|Ed Waesche
Carolina Rolling Stone|TTBB|Burt Szabo
Caroline (TTBB) (as sung by the Boston Common)|TTBB|Cole, Cluett, and the Boston Common
Caroline, I'm Coming Back To You|TTBB|Rob Hopkins
Cecilia|TTBB|Val Hicks
Celebrate Harmony (Show Opener / Closer)|TTBB|Joe Liles
Change the World|SATB|Deke Sharon & David Wright
Change the World|SSAA|Deke Sharon & David Wright
Change the World|TTBB|Deke Sharon & David Wright
Charleston|TTBB|Dave Briner
Cheek to Cheek|SSAA|Ed Waesche
Cheek to Cheek|TTBB|Ed Waesche
Choc'late in My Stocking|TTBB|Aaron Dale
Christmas Time Is Here|TTBB|Jon Nicholas
Cinderella|TTBB|Gene Cokeroft
Circle Of Life|TTBB|Jake Jacobson
Circus Day In Dixie|TTBB|Ed Waesche
Closer to Fine|SSAA|Jay Dougherty
Cocktails For Two|TTBB|Barbershop Harmony Society
College Years|TTBB|Tom Gentry
Collegiate Love|TTBB|Dennis Driscoll
Come Dance with Me with Come Fly with Me|TTBB|Kevin Keller
Come Fly with Me|SSAA|Kevin Keller
Come Fly with Me|TTBB|Kevin Keller
Come Fly With Me|SATB|Kevin Keller
Come On Get Happy|SATB|Aaron Dale
Come On Get Happy|SSAA|Aaron Dale
Come What May|SSAA|Kevin Keller
Come What May|TTBB|Kevin Keller
Come With Me|TTBB|Dave Stevens
Come, Josephine, In My Flying Machine|TTBB|Burt Szabo
Coney Island Washboard|TTBB|Barbershop Harmony Society
Consider Yourself (from "Oliver!")|TTBB|Tom Gentry
Country Roads with Sunshine On My Shoulders (Medley)|SSAA|Steve Jamison
Country Roads with Sunshine On My Shoulders (Medley)|TTBB|Steve Jamison
Coventry Carol|TTBB|Inc. SPEBSQSA
Crazy Little Thing Called Love|SSAA|Aaron Dale
Crazy Little Thing Called Love|TTBB|Aaron Dale
Cross That Mason-Dixon Line|TTBB|Earl Moon
Cruella De Vil|TTBB|David Wright
Cruella De Vil|TTBB|Tom Wheeler
Cruisin' Down The River|TTBB|Mo Rector
Crying My Heart Out for You|TTBB|Kevin Keller
Cuddle Up A Little Closer, Lovey Mine|TTBB|Burt Szabo
Cups (When I'm Gone)|SATB|Kirby Shaw
Cups (When I'm Gone)|SSAA|Kirby Shaw
Cups (When I'm Gone)|TTBB|Kirby Shaw
Daddy Sang Bass|TTBB|Barbershop Harmony Society
Daddy You've Been a Mother to Me|TTBB|Tom Gentry
Daddy's Little Girl|TTBB|Don Gray
Danny Boy|TTBB|Renee Craig
Day Dreamin'|TTBB|Louis Perry
Daydream|SATB|Melvin Knight
Daydream|SSAA|Melvin Knight
Daydream|TTBB|Kevin Keller
Daydream|TTBB|Melvin Knight
Dear Hearts And Gentle People|TTBB|Rob Campbell
Dear Little Boy Of Mine|TTBB|Inc. SPEBSQSA
Dear Old Gal, Who's Your Pal Tonight|TTBB|Burt Szabo
Dear Old Girl|TTBB|Inc. SPEBSQSA
Dear Old Pal Of Mine|TTBB|Burt Szabo
Dearie|TTBB|Don Gray
Deck the Halls|TTBB|Burt Szabo
Deed I Do|SSAA|Aaron Dale
Deed I Do|TTBB|Aaron Dale
Deep in The Heart of Texas|TTBB|Jack Baird
Defying Gravity|TTBB|Kevin Keller
Dinah|TTBB|David Wright
Disney Song Medley|SSAA|Joe Liles
Disney Song Medley|TTBB|Joe Liles
Do You Hear the People Sing?|SATB|Tom Gentry
Do You Hear the People Sing?|TTBB|Tom Gentry
Do You Hear The People Sing?|SSAA|Tom Gentry
Do You Hear What I Hear?|SSAA|Joe Liles
Do You Hear What I Hear?|TTBB|Joe Liles
Do You Know What It Means To Miss New Orleans|TTBB|BHS
Do You Remember When?|TTBB|1964 Harmony Education Program (HEP) Advanced Arrangers Class
Do-Re-Mi|TTBB|Howard Mesecher
Doin' The Raccoon|TTBB|Dave Briner
Don't Be a Baby, Baby|TTBB|Gas House Gang & Boston Common
Don't Blame Me|TTBB|Louis Perry
Don't Bring Lulu|TTBB|DUPLICATE see 509971 Senter
Don't Cry, Little Girl, Don't Cry|TTBB|Earl Moon
Don't Fence Me In|TTBB|Jack Baird
Don't Go In The Lion's Cage Tonight|TTBB|Earl Moon
Don't Stop Me Now|SSAA|Liz Garnett
Don't Waste Your Tears Over Me|TTBB|Lou Perry
Down By The Old Mill Stream|TTBB|Burt Szabo
Down By the Riverside|SATB|Tom Gentry
Down By the Riverside|SSAA|Tom Gentry
Down By The Riverside|TTBB|Thomas Gentry
Down In The Lane|TTBB|Burt Szabo
Down In The Old Neighborhood|TTBB|Lou Perry
Down on the Corner|TTBB|Greg Lyne
Down Our Way|TTBB|Floyd Connett
Down the Trail to Home Sweet Home|TTBB|Barbershop Harmony Society
Down Where The Swanee River Flows|TTBB|Larry Autenreith
Dream a Little Dream of Me|SATB|Tom Gentry
Dream a Little Dream of Me|SSAA|Tom Gentry
Dream a Little Dream of Me|TTBB|Thomas Gentry
Dream Lover|SATB|Kohl Kitzmiller
Dream Lover|SSAA|Kohl Kitzmiller
Dream Lover|TTBB|Kohl Kitzmiller
Dream Vacation|SSAA|Larry Triplett
Drivin' Me Crazy|TTBB|Robert Disney
Each Time I Fall In Love|TTBB|S. K. Grundy
Early American Medley|TTBB|Unknown
Easter Parade|TTBB|Ed Waesche
Easy Street|TTBB|Warren Buzz Haeger
Ebb Tide|SSAA|Fred King
Ebb Tide|TTBB|Fred King
Edelweiss|SATB|Rob Campbell
Edelweiss|SSAA|Rob Campbell
Edelweiss|TTBB|Rob Campbell
Eleanor Rigby|TTBB|Jon Nicholas
Elvis Medley|TTBB|John Hohl
Emaline|TTBB|Earl Moon
Ever Since We Got That Water Bed (We've Been Slowly Drifting Apart)|TTBB|Louis Perry
Every Breath You Take|SSAA|Aaron Dale
Every Breath You Take|TTBB|Aaron Dale
Every Little Thing She Does Is Magic|TTBB|Adam Scott
Everybody Loves a Lover|TTBB|Drayton Justus
Everybody Wants To Go To Heaven|SSAA|Louis Perry
Everybody Wants To Go To Heaven|TTBB|Louis Perry
Everything In America Is Ragtime|TTBB|Munson Hinman
Everything Is Peaches Down In Georgia|TTBB|Burt Szabo
Everything Old Is New Again|TTBB|Ed Waesche
Everything's Coming Up Roses|TTBB|David Wright
Faith|SATB|Kohl Kitzmiller
Faith|SSAA|Kohl Kitzmiller
Faith|TTBB|Kohl Kitzmiller
Fare Thee Well Love|TTBB|David Wright
Feast of Lights Medley|TTBB|Gregory Lyne
Feliz Navidad|TTBB|Dave Briner and Tom Gentry
Fight Song|SSAA|Wayne Grimmer
Fight Song|TTBB|Wayne Grimmer
Firefly|TTBB|BHS
Five Foot Two, Eyes of Blue (Has Anybody Seen My Girl?)|TTBB|Joe Liles
Floatin' Down To Cotton Town|TTBB|Rob Campbell
For Me And My Gal|TTBB|the Barbershop Harmony Society
For Sale, One Broken Heart|TTBB|Val Hicks
Forever And Ever, Amen|TTBB|Kevin Keller
Forgive Me|SSAA|Earl Moon
