Song Title|Voicing|Arranger
1927 Kansas City|TTBB|Brian Beck
76 Trombones|SATB|Kevin Keller
9 to 5|SATB|Kohl Kitzmiller
9 to 5|SSAA|Kohl Kitzmiller
A Bit of Earth|TTBB|Theodore Hicks
A Brand New Day-Ease on Down the Road Medley|SATB|Clay Hine
A Caroling Celebration!|TTBB|David Zimmerman
A Cottage for Sale|TTBB|Theodore Hicks
A Dream is a Wish Your Heart Makes|SSAA|Kohl Kitzmiller
A Dream is a Wish Your Heart Makes|TTBB|Gene Cokeroft
A Groovy Kind of Love|TTBB|Tom Gentry
A Holly Jolly Christmas|SATB|Deke Sharon
A Laube|SATB|Adam Scott
A Laube All|SATB|Adam Scott
A Little Street Where Old Friends Meet|SATB|Sam Breedon
A Major Chord|SATB|Kevin Köhl
A Mars Migration|SATB|Aaron Dale
A Million Dreams|TTBB|Kohl Kitzmiller
A Million Dreams|TTBB|Rowena Harper
A Million Ways|TTBB|Kohl Kitzmiller
A Quiet Place|TTBB|Walter Latzko
A Shine on Your Shoes|SATB|Melody Hine
A Spoonful of Sugar|TTBB|David Zimmerman
A Summer in Ohio|TTBB|Patrick McAlexander
A Sunday Kind of Love|SATB|Patrick McAlexander
A Swingin’ Little Christmas Time|TTBB|Kohl Kitzmiller
A Thousand Things|SSAA|Melody Hine
A Thousand Things|TTBB|Adam Scott
A Whole New World|SATB|Theodore Hicks
A Wink and a Smile|SATB|Kim Brittain
ABC|SATB|David Wright
ABC|TTBB|David Wright
Ace in the Hole|TTBB|Dave Briner
Ace in the Hole|TTBB|Kohl Kitzmiller
Adeline’s Restaurant (Intro) – Learning Track|SSAA|Kohl Kitzmiller
Adeline’s Restaurant (Intro) – Mix|SSAA|Kohl Kitzmiller
Africa|SATB|Alex Morris
Africa|SSAA|Alex Morris
Africa|TTBB|Alex Morris
After Dark|TTBB|Tom Gentry
After You, Who?|TTBB|David Zimmerman
Against All Odds|TTBB|Steve Tramack
Against All Odds Take A Look At Me Now|TTBB|Rasmus Krigstrom
Against All Odds Take A Look At Me Now All|TTBB|Rasmus Krigstrom
Ain’t No Grave|TTBB|Adam Scott
Ain’t We Got Fun|TTBB|Mark Smith
All About Love|TTBB|Kohl Kitzmiller
All Dressed Up With a Broken Heart|TTBB|Scott Kitzmiller
All For the Best|TTBB|Rob Campbell
All I Ask|TTBB|Kohl Kitzmiller
All is Well (Chorus)|SATB|Theodore Hicks
All is Well (Quartet)|SATB|Theodore Hicks
All of Me|TTBB|Scott Kitzmiller
All or Nothing at All|TTBB|Ron James
All Over the World|SSAA|Kohl Kitzmiller
All Over the World|TTBB|Kohl Kitzmiller
All Over the World|TTBB|Mo Field
All Star|TTBB|Patrick McAlexander
All the Gifts I Need|TTBB|Kohl Kitzmiller
All the Things You Are|TTBB|Scott Kitzmiller
All the Way|TTBB|Kohl Kitzmiller
All the Way|TTBB|Robert Rund
All You Need is Love|SATB|Rasmus Krigström
Almost There|SATB|Jon Nicholas
Almost There|TTBB|Jon Nicholas
Always Look on the Bright Side of Life|TTBB|David Strasser
Always On My Mind|TTBB|Kohl Kitzmiller
Amapola|SATB|Steve Tramack, Eric Dalbey
Amazing Grace|SATB|Tom Gentry
America the Beautiful|SATB|Rob Hopkins
Angels We Have Heard on High|SATB|Barbershop Harmony Society
Angels We Have Heard on High|TTBB|Barbershop Harmony Society
Angels, From the Realms of Glory|SATB|Barbershop Harmony Society
Annie|TTBB|Burt Szabo
Any Way You Want It|SATB|Deke Sharon
Anything Can Happen|TTBB|Theodore Hicks
Anything is Possible|SSAA|Melody Hine
Anything You Can Do|SATB|Josh Ehrlich
Anytime, Anywhere|TTBB|Ron James
April Love|TTBB|Jay Giallombardo
Aquarius|TTBB|Tom Gentry
Aren’t You Glad You’re You?|TTBB|Dave Briner
Around the World|SATB|Kohl Kitzmiller
As Long as I’m Singin’|TTBB|Mike Menefee
As Long As I’m Singing|SATB|Kohl Kitzmiller
As Long As I’m Singing|SSAA|Kohl Kitzmiller
As Long As I’m Singing|TTBB|Kohl Kitzmiller
As Long as You’re Mine|SATB|Theodore Hicks
As with Gladness Men of Old|SATB|Barbershop Harmony Society
Astonishing|SATB|Melody Hine
At the End of a Cobblestone Road|TTBB|Bruce Wenner
At the Moving Picture Ball|TTBB|Lou Perry
At the Swing Cats Ball|TTBB|Kohl Kitzmiller
Audacity|SATB|Josh Gongaware
Auld Lang Syne|TTBB|Clay Hine
Auld Lang Syne|TTBB|Don Gray
Autumn in New York|TTBB|Kohl Kitzmiller
Autumn Leaves|TTBB|Scott Kitzmiller
Away in a Manger|SATB|Barbershop Harmony Society
Baby Grand|TTBB|Dave Ebersole
Baby Mine|TTBB|Adam Reimnitz
Baby One More Time|SATB|Patrick Mcalexander
Baby One More Time All|SATB|Patrick Mcalexander
Baby, Now That I’ve Found You|TTBB|Kohl Kitzmiller
Banana Bread|TTBB|Kohl Kitzmiller
Bananaphone|TTBB|Kohl Kitzmiller
Bang Bang (My Baby Shot Me Down)|SSAA|Kohl Kitzmiller
