Song Title|Voicing|Arranger
A Life That’s Good|SATB|Melody Hine
A Life That’s Good|SSAA|Melody Hine
A Life That’s Good|TTBB|Melody Hine
A Million Dreams|SATB|Melody Hine
A Million Dreams|SSAA|Melody Hine
A Million Dreams|TTBB|Melody Hine
A Shine On Your Shoes|SATB|Melody Hine
A Shine On Your Shoes|SSAA|Melody Hine
A Shine On Your Shoes|TTBB|Melody Hine
A Thousand Things|SATB|Melody Hine
A Thousand Things|SSAA|Melody Hine
A Thousand Things|TTBB|Melody Hine
After You Get What You Want, You Don’t Want it|TTBB|Melody Hine
After You Get What You Want, You Don’t Want It|SATB|Melody Hine
After You Get What You Want, You Don’t Want It|SSAA|Melody Hine
Ain’t Nobody’s Business If I Do|SATB|Melody Hine
Ain’t Nobody’s Business If I Do|SSAA|Melody Hine
Ain’t Nobody’s Business If I Do|TTBB|Melody Hine
Ain’t We Got Fun|SATB|Melody Hine
Ain’t We Got Fun|SSAA|Melody Hine
Ain’t We Got Fun|TTBB|Melody Hine
Air Conditioner|SATB|Melody Hine
Air Conditioner|SSAA|Melody Hine
Air Conditioner|TTBB|Melody Hine
And The Angels Sing|TTBB|Melody Hine
Anything is Possible|SATB|Melody Hine
Anything is Possible|SSAA|Melody Hine
Anything is Possible|TTBB|Melody Hine
Are You Havin’ Any Fun?|SATB|Melody Hine
Are You Havin’ Any Fun?|SSAA|Melody Hine
Are You Havin’ Any Fun?|TTBB|Melody Hine
Artificial Flowers|SATB|Melody Hine
Artificial Flowers|SSAA|Melody Hine
Artificial Flowers|TTBB|Melody Hine
As If We Never Said Goodbye|SSAA|Melody Hine
Astonishing|SATB|Melody Hine
Astonishing|SSAA|Melody Hine
Avalon|SATB|Melody Hine
Avalon|SSAA|Melody Hine
Avalon|TTBB|Melody Hine
Barbecue|TTBB|Melody Hine
Beautiful Thang|TTBB|Melody Hine
Beautiful/I Am What I Am|SATB|Melody Hine
Beggin’|TTBB|Melody Hine
Better Days|SSAA|Melody Hine
Better Place|SSAA|Melody Hine
Birdsong|SSAA|Melody Hine
Born to Be Blue|TTBB|Melody Hine
Box of Secrets|SATB|Melody Hine
Brand New|TTBB|Melody Hine
Brave|SSAA|Melody Hine
Brick House|SSAA|Melody Hine
Build Me Up Buttercup|SSAA|Melody Hine
bury a friend|SATB|Melody Hine
Call Me Up Some Rainy Afternoon|SATB|Melody Hine
Call Me Up Some Rainy Afternoon|SSAA|Melody Hine
Call Me Up Some Rainy Afternoon|TTBB|Melody Hine
Can You Imagine That?|SSAA|Melody Hine
Carolina in My Mind|TTBB|Melody Hine
Chicago (That Toddling Town)|SATB|Melody Hine
Chicago (That Toddling Town)|SSAA|Melody Hine
Chicago (That Toddling Town)|TTBB|Melody Hine
Children Will Listen|SSAA|Melody Hine
Climbing Uphill (When You Come Home to Me) Parody|SSAA|Melody Hine
Colors of the Wind|SATB|Melody Hine
Colors of the Wind|SSAA|Melody Hine
Colors of the Wind|TTBB|Melody Hine
Come Along|SSAA|Melody Hine
Count On Me|SSAA|Melody Hine
Crabbuckit|SATB|Melody Hine
Crabbuckit|SSAA|Melody Hine
Crabbuckit|TTBB|Melody Hine
Creep|SATB|Melody Hine
Creep|SSAA|Melody Hine
Creep|TTBB|Melody Hine
Cups|SSAA|Melody Hine
Cursed Train Medley|TTBB|Melody Hine
Dance Medley|SATB|Melody Hine
Demon Kitty Rag|SSAA|Melody Hine
Demon Kitty Rag|TTBB|Melody Hine
Disney Princess Medley (Shorter)|SSAA|Melody Hine
Doggone! I’ve Done It|SSAA|Melody Hine
Don’t Do Something to Someone Else|SSAA|Melody Hine
Dreamer|SSAA|Melody Hine
Ease On Down the Road/Follow the Yellow Brick Road Medley|SSAA|Melody Hine
Enormous Penis|SSAA|Melody Hine
Everybody Eats When They Come to My House|TTBB|Melody Hine
Everybody Loves My Baby (But My Baby Don’t Love Nobody But Me)|SATB|Melody Hine
Everybody Loves My Baby (But My Baby Don’t Love Nobody But Me)|SSAA|Melody Hine
Everybody Loves My Baby (But My Baby Don’t Love Nobody But Me)|TTBB|Melody Hine
Everybody Wants to Be a Cat|SATB|Melody Hine
Everybody Wants to Be a Cat|SSAA|Melody Hine
Everybody Wants to Be a Cat|TTBB|Melody Hine
Extraordinary Magic|TTBB|Melody Hine
Feed the Birds|TTBB|Melody Hine
Fight Song|SATB|Melody Hine
Fight Song|SSAA|Melody Hine
Fight Song|TTBB|Melody Hine
Fire and Rain|SATB|Melody Hine
Fire and Rain|TTBB|Melody Hine
Fixer Upper|SATB|Melody Hine
Flowers|SATB|Melody Hine
Flowers|SSAA|Melody Hine
For Good|SSAA|Melody Hine
Forget About the Boy|SSAA|Melody Hine
Frank Sinatra Medley|SATB|Melody Hine
Frank Sinatra Medley|TTBB|Melody Hine
Fresh Prince of Bel-Air|TTBB|Melody Hine
Friend Like Me|TTBB|Melody Hine
From the Ground Up|SSAA|Melody Hine
From This Moment On|SSAA|Melody Hine
Gimme Gimme|SSAA|Melody Hine
Give Up!|TTBB|Melody Hine
Gone|SSAA|Melody Hine
Gone, Gone, Gone|SATB|Melody Hine
Gone, Gone, Gone|TTBB|Melody Hine
Good Job|SSAA|Melody Hine
Goodnight, My Love|SSAA|Melody Hine
Hakuna Matata|SATB|Melody Hine
Hanukkah Medley|SATB|Melody Hine
Hanukkah Medley|SSAA|Melody Hine
Hanukkah Medley|TTBB|Melody Hine
Happy Birthday|SSAA|Melody Hine
Hastily Made Cleveland Tourism Video|SATB|Melody Hine
Hawaiian Roller Coaster Ride|SATB|Melody Hine
Hawaiian Roller Coaster Ride|TTBB|Melody Hine
Hercules Medley|TTBB|Melody Hine
His Cheeseburger|SATB|Melody Hine
His Cheeseburger|SSAA|Melody Hine
His Cheeseburger|TTBB|Melody Hine
Home|SSAA|Melody Hine
Hopelessly Devoted to You|SATB|Melody Hine
Hopelessly Devoted to You|SSAA|Melody Hine
Hopelessly Devoted to You|TTBB|Melody Hine
Hot Dogs or Legs|TTBB|Melody Hine
How High the Moon|SSAA|Melody Hine
How the World Works|SATB|Melody Hine
How the World Works|SSAA|Melody Hine
How the World Works|TTBB|Melody Hine
I Ain’t Got Nobody|SATB|Melody Hine
I Ain’t Got Nobody|SSAA|Melody Hine
I Ain’t Got Nobody|TTBB|Melody Hine
I Am What I Am|SSAA|Melody Hine
I Can Dream, Can’t I?|SSAA|Melody Hine
I Can See Clearly Now|SSAA|Melody Hine
I Cried for You|SATB|Melody Hine
I Cried for You|SSAA|Melody Hine
I Cried for You|TTBB|Melody Hine
I Don’t Care About You|SSAA|Melody Hine
I Don’t Want to Set the World on Fire|TTBB|Melody Hine
I Love Me|SSAA|Melody Hine
I Put a Spell on You|TTBB|Melody Hine
I Want to Be Happy|SATB|Melody Hine
I Want to Be Happy|SSAA|Melody Hine
I Want to Be Happy|TTBB|Melody Hine
I Will|SATB|Melody Hine
I Will|SSAA|Melody Hine
I Will|TTBB|Melody Hine
I Won’t Say I’m in Love|SSAA|Melody Hine
I’ll Build a Stairway to Paradise|SSAA|Melody Hine
I’ll Never Be Free|TTBB|Melody Hine
I’m Nobody’s Baby|SATB|Melody Hine
I’m Nobody’s Baby|SSAA|Melody Hine
I’m Nobody’s Baby|TTBB|Melody Hine
I’m Still Standing|SATB|Melody Hine
I’m Still Standing|SSAA|Melody Hine
I’m Still Standing|TTBB|Melody Hine
if i were a fish|SATB|Melody Hine
if i were a fish|SSAA|Melody Hine
if i were a fish|TTBB|Melody Hine
In the Mood|SSAA|Melody Hine
It’s Today|SSAA|Melody Hine
Jackson|TTBB|Melody Hine
Jersey Bounce|SSAA|Melody Hine
Jesus Christ, the Apple Tree|SATB|Melody Hine
Jesus Christ, the Apple Tree|SSAA|Melody Hine
Jesus Christ, the Apple Tree|TTBB|Melody Hine
Keep Smiling at Trouble (Trouble’s a Bubble)|SATB|Melody Hine
Keep Smiling at Trouble (Trouble’s a Bubble)|SSAA|Melody Hine
Keep Smiling at Trouble (Trouble’s a Bubble)|TTBB|Melody Hine
Kim Possible/Danny Phantom Medley|SATB|Melody Hine
Let’s Be Bad|SATB|Melody Hine
Let’s Be Bad|SSAA|Melody Hine
Let’s Be Bad|TTBB|Melody Hine
Like a Prayer|TTBB|Melody Hine
Little Jazz Bird|SATB|Melody Hine
Little Jazz Bird|SSAA|Melody Hine
Little Jazz Bird|TTBB|Melody Hine
Louder Than Words|SATB|Melody Hine
Love is an Open Door|SATB|Melody Hine
Love On Top|SSAA|Melody Hine
Love You Anymore|TTBB|Melody Hine
Lover, Come Back to Me|SATB|Melody Hine
Luck Be a Lady Tonight|SSAA|Melody Hine
Ma’oz Tzur|SATB|Melody Hine
Ma’oz Tzur|SSAA|Melody Hine
Ma’oz Tzur|TTBB|Melody Hine
Mama’s Broken Heart|SSAA|Melody Hine
Maybe This Time|SATB|Melody Hine
Maybe This Time|SSAA|Melody Hine
Maybe This Time|TTBB|Melody Hine
Me Too|SSAA|Melody Hine
Men in Tights|TTBB|Melody Hine
Merry Christmas, Happy Holidays|SATB|Melody Hine
Merry Christmas, Happy Holidays|SSAA|Melody Hine
Merry Christmas, Happy Holidays|TTBB|Melody Hine
My One and Only Love|TTBB|Melody Hine
Naughty|SSAA|Melody Hine
Never Getting Rid of Me|SSAA|Melody Hine
No More Blues|TTBB|Melody Hine
