Song Title|Voicing|Arranger
Eleanor Rigby|TTBB|Nicholas Hare
Firefly|TTBB|Barbershop Harmony Society
Give Me a Barbershop Song|TTBB|Steve Hall
Hark! The Herald Angels Sing|SSAA|Dianne Goldrick
Home on the Range|TTBB|Lauren Lofton
I Am a Child of God|TTBB|Nathan Owens
I Love That Old Barbershop Style|TTBB|Val Hicks
Jingle Bells|TTBB|Andrew Henderson
Paper Doll|TTBB|Carol Conrad
Pinin' Just For You|TTBB|Brian Cromer
Ride the Chariot|TTBB|Barbershop Harmony Society
Ride The Chariot|SSAA|Barbershop Harmony Society
Ring Christmas Bells|SSAA|Kim Kirkman
Satin Doll|TTBB|Nicholas Hare
Swing Low, Sweet Chariot|TTBB|Nicholas Hare
That's Life|SATB|Barbershop Harmony Society
That's Life|SSAA|Barbershop Harmony Society
That's Life|TTBB|Barbershop Harmony Society
The Barbershop Dreidel Song|SATB|Sarah Shapiro
The Girl From Ipanema|TTBB|Nicholas Hare
Wake Up Little Susie|TTBB|Nicholas Hare
